,original,modified,size
32181,prevention of cardiovascular disease,preventionofcardiovasculardisease,4
32660,varicella-zoste,varicella-zoste,1
32864,pelvic inflammatory disease,pelvicinflammatorydisease,3
32973,intraabdominal infection,intraabdominalinfection,2
33098,croup,croup,1
33369,dermatologic lesion,dermatologiclesion,2
33598,"hyperlipoproteinemia type iv, elevated vldl","hyperlipoproteinemiatypeiv,elevatedvldl",5
33891,expectoration,expectoration,1
34226,primary hyperaldosteronism diagnosis,primaryhyperaldosteronismdiagnosis,3
34735,abdominal distension,abdominaldistension,2
34892,salivary gland cance,salivaryglandcance,3
35018,"pulmonary embolism, first event","pulmonaryembolism,firstevent",4
35263,postpartum breast pain,postpartumbreastpain,3
35708,postural orthostatic tachycardia syndrome,posturalorthostatictachycardiasyndrome,4
36414,pediatric growth hormone deficiency,pediatricgrowthhormonedeficiency,4
36605,hypomagnesemia,hypomagnesemia,1
36631,ge hct (amlodipine / hydrochlorothiazide / valsartan),gehct(amlodipine/hydrochlorothiazide/valsartan),7
36765,hairy cell leukemia,hairycellleukemia,3
36818,histoplasmosis,histoplasmosis,1
36966,hypoglycemia,hypoglycemia,1
38101,brain tum,braintum,2
38147,gastrointestinal stromal tum,gastrointestinalstromaltum,3
38611,tetanus,tetanus,1
39101,"breast cancer, prevention","breastcancer,prevention",3
39373,icu agitation,icuagitation,2
39377,women (minoxidil),women(minoxidil),2
39558,peripheral t-cell lymphoma,peripheralt-celllymphoma,3
39944,chronic inflammatory demyelinating polyradiculoneuropathy,chronicinflammatorydemyelinatingpolyradiculoneuropathy,4
41058,pathological hypersecretory conditions,pathologicalhypersecretoryconditions,3
41124,oral and dental conditions,oralanddentalconditions,4
41153,antiphospholipid syndrome,antiphospholipidsyndrome,2
41191,ventricular arrhythmia,ventriculararrhythmia,2
41301,asystole,asystole,1
41522,wegener's granulomatosis,wegener'sgranulomatosis,2
42108,thromboembolic stroke prophylaxis,thromboembolicstrokeprophylaxis,3
42646,platelet aggregation inhibition,plateletaggregationinhibition,3
42794,sleep paralysis,sleepparalysis,2
42803,rejection prophylaxis,rejectionprophylaxis,2
43054,"delayed puberty, male","delayedpuberty,male",3
43117,ascariasis,ascariasis,1
43646,acute promyelocytic leukemia,acutepromyelocyticleukemia,3
44707,bartonellosis,bartonellosis,1
45491,cyclothymic disorde,cyclothymicdisorde,2
45518,hypokalemic periodic paralysis,hypokalemicperiodicparalysis,3
45639,varicose veins,varicoseveins,2
45672,mononucleosis,mononucleosis,1
45824,cachexia,cachexia,1
46253,hyperkalemia,hyperkalemia,1
46428,still's disease,still'sdisease,2
46614,dementia,dementia,1
46703,ocular rosacea,ocularrosacea,2
47126,hidradenitis suppurativa,hidradenitissuppurativa,2
47718,siadh,siadh,1
48365,bullous pemphigoid,bullouspemphigoid,2
49367,angioedema,angioedema,1
49399,mountain sickness / altitude sickness,mountainsickness/altitudesickness,5
49586,severe mood dysregulation,severemooddysregulation,3
49750,cutaneous t-cell lymphoma,cutaneoust-celllymphoma,3
49890,adrenocortical insufficiency,adrenocorticalinsufficiency,2
50341,myxedema coma,myxedemacoma,2
50811,small bowel bacterial overgrowth,smallbowelbacterialovergrowth,4
51013,sunburn,sunburn,1
51846,transverse myelitis,transversemyelitis,2
52058,squamous cell carcinoma,squamouscellcarcinoma,3
53090,parkinsonism,parkinsonism,1
55000,thyrotoxicosis,thyrotoxicosis,1
55366,"epididymitis, sexually transmitted","epididymitis,sexuallytransmitted",3
55795,neck pain,neckpain,2
55852,bleeding disorde,bleedingdisorde,2
56678,actor ix deficiency,actorixdeficiency,3
57158,melanoma,melanoma,1
57185,thrombocytopenia,thrombocytopenia,1
57936,esophageal variceal hemorrhage prophylaxis,esophagealvaricealhemorrhageprophylaxis,4
58614,glioblastoma multi,glioblastomamulti,2
59909,cholera,cholera,1
60142,anorexia/feeding problems,anorexia/feedingproblems,2
61138,peritonitis,peritonitis,1
61595,av heart block,avheartblock,3
61786,pe,pe,1
62393,wilson's disease,wilson'sdisease,2
62537,nonalcoholic fatty liver disease,nonalcoholicfattyliverdisease,4
63982,sepsis,sepsis,1
64093,anthrax,anthrax,1
64679,body imaging,bodyimaging,2
64711,aggressive behavi,aggressivebehavi,2
64762,hepatic tum,hepatictum,2
65233,ehrlichiosis,ehrlichiosis,1
65376,hypopituitarism,hypopituitarism,1
65404,gender dysphoria,genderdysphoria,2
65426,infectious diarrhea,infectiousdiarrhea,2
65765,ventricular fibrillation,ventricularfibrillation,2
66077,anaphylaxis,anaphylaxis,1
66083,pemphigus,pemphigus,1
66142,multiple endocrine adenomas,multipleendocrineadenomas,3
66219,pre-exposure prophylaxis,pre-exposureprophylaxis,2
66882,postoperative increased intraocular pressure,postoperativeincreasedintraocularpressure,4
67469,pruritus of partial biliary obstruction,pruritusofpartialbiliaryobstruction,5
67881,pertussis,pertussis,1
68183,periodontitis,periodontitis,1
68259,lymphoma,lymphoma,1
68308,hypercalcemia of malignancy,hypercalcemiaofmalignancy,3
68626,pityriasis rubra pilaris,pityriasisrubrapilaris,3
68900,amebiasis,amebiasis,1
68997,t care,tcare,2
69057,hepatic encephalopathy,hepaticencephalopathy,2
69336,deep neck infection,deepneckinfection,3
69346,"meningitis, meningococcal","meningitis,meningococcal",2
69652,parkinsonian trem,parkinsoniantrem,2
71038,rabies prophylaxis,rabiesprophylaxis,2
73135,hypotension,hypotension,1
73295,myelofibrosis,myelofibrosis,1
74528,cal segmental glomerulosclerosis,calsegmentalglomerulosclerosis,3
74658,gastric ulcer maintenance treatment,gastriculcermaintenancetreatment,4
75639,paget's disease,paget'sdisease,2
76010,infection prophylaxis,infectionprophylaxis,2
76036,gastrointestinal decontamination,gastrointestinaldecontamination,2
76933,mixed connective tissue disease,mixedconnectivetissuedisease,4
77064,somatoform pain disorde,somatoformpaindisorde,3
77363,esophageal spasm,esophagealspasm,2
78442,campylobacter gastroenteritis,campylobactergastroenteritis,2
79768,hyperphosphatemia,hyperphosphatemia,1
80146,oligospermia,oligospermia,1
80518,wound cleansing,woundcleansing,2
81075,euvolemic hyponatremia,euvolemichyponatremia,2
81100,gallbladder disease,gallbladderdisease,2
81442,"mycobacterium avium-intracellulare, treatment","mycobacteriumavium-intracellulare,treatment",3
81996,oppositional defiant disorde,oppositionaldefiantdisorde,3
82153,legionella pneumonia,legionellapneumonia,2
82252,"breast cancer, palliative","breastcancer,palliative",3
82396,hydrocephalus,hydrocephalus,1
82751,"hyperlipoproteinemia type iii, elevated beta-vldl   idl","hyperlipoproteinemiatypeiii,elevatedbeta-vldlidl",8
84954,anaplastic astrocytoma,anaplasticastrocytoma,2
84963,dupuytren's contracture,dupuytren'scontracture,2
86138,mumps prophylaxis,mumpsprophylaxis,2
86265,"skin disinfection, preoperative","skindisinfection,preoperative",3
86805,hyperbilirubinemia,hyperbilirubinemia,1
87240,meningitis,meningitis,1
87897,corneal ulce,cornealulce,2
88340,acial lipoatrophy,aciallipoatrophy,2
90182,percutaneous coronary intervention,percutaneouscoronaryintervention,3
90399,hepatitis b prevention,hepatitisbprevention,3
91055,"tuberculosis, active","tuberculosis,active",2
91736,cerebrovascular insufficiency,cerebrovascularinsufficiency,2
92196,head injury,headinjury,2
92223,anti nmda receptor encephalitis,antinmdareceptorencephalitis,4
92572,nonoccupational exposure,nonoccupationalexposure,2
96726,gonadotropin inhibition,gonadotropininhibition,2
97383,unctional gastric disorde,unctionalgastricdisorde,3
97431,chronic eosinophilic leukemia,chroniceosinophilicleukemia,3
97871,acetaminophen overdose,acetaminophenoverdose,2
97986,duodenal ulcer prophylaxis,duodenalulcerprophylaxis,3
98134,"paragonimus westermani, lung fluke","paragonimuswestermani,lungfluke",4
99050,alpha-1 proteinase inhibitor deficiency,alpha-1proteinaseinhibitordeficiency,4
99533,cogan's syndrome,cogan'ssyndrome,2
99584,uterine bleeding,uterinebleeding,2
99865,stomach cance,stomachcance,2
100718,sporotrichosis,sporotrichosis,1
103783,cluster-tic syndrome,cluster-ticsyndrome,2
103944,gestational diabetes,gestationaldiabetes,2
104254,stress ulcer prophylaxis,stressulcerprophylaxis,3
105942,reversal of nondepolarizing muscle relaxants,reversalofnondepolarizingmusclerelaxants,5
105964,solid tumors,solidtumors,2
106095,mist (,mist(,2
106562,schnitzler syndrome,schnitzlersyndrome,2
106936,hypocalcemia,hypocalcemia,1
109605,meningococcal meningitis prophylaxis,meningococcalmeningitisprophylaxis,3
109945,nocardiosis,nocardiosis,1
111706,hemophilia b,hemophiliab,2
113189,microscopic polyangiitis,microscopicpolyangiitis,2
113418,"gonococcal infection, disseminated","gonococcalinfection,disseminated",3
113973,neurotic depression,neuroticdepression,2
114399,keratitis,keratitis,1
114756,hodgkin's lymphoma,hodgkin'slymphoma,2
115443,me,me,1
117352,std prophylaxis,stdprophylaxis,2
118200,small bowel or pancreatic fistula,smallbowelorpancreaticfistula,5
119293,prevention of perinatal group b streptococcal disease,preventionofperinatalgroupbstreptococcaldisease,7
121461,cerebral edema,cerebraledema,2
123674,short stature for age,shortstatureforage,4
126648,"aspergillosis, aspergilloma","aspergillosis,aspergilloma",2
127466,pemphigoid,pemphigoid,1
128379,hyperparathyroidism secondary to renal impairment,hyperparathyroidismsecondarytorenalimpairment,5
128512,ramsay hunt syndrome,ramsayhuntsyndrome,3
129434,cutaneous larva migrans,cutaneouslarvamigrans,3
132194,occipital neuralgia,occipitalneuralgia,2
132260,blepharitis,blepharitis,1
132523,patent ductus arteriosus,patentductusarteriosus,3
132868,joint infection,jointinfection,2
133675,manscaping pain,manscapingpain,2
134311,strabismus,strabismus,1
134480,"organ transplant, rejection reversal","organtransplant,rejectionreversal",4
135706,leukocytoclastic vasculitis,leukocytoclasticvasculitis,2
135772,coronary artery disease,coronaryarterydisease,3
136240,gastric cance,gastriccance,2
137212,ibrocystic breast disease,ibrocysticbreastdisease,3
137555,ungal infection prophylaxis,ungalinfectionprophylaxis,3
138090,short stature,shortstature,2
138619,hypercalcemia,hypercalcemia,1
139905,coccidioidomycosis,coccidioidomycosis,1
140547,cyclitis,cyclitis,1
141877,"anemia, chemotherapy induced","anemia,chemotherapyinduced",3
142046,upper limb spasticity,upperlimbspasticity,3
144576,diagnostic bronchograms,diagnosticbronchograms,2
145171,neoplastic diseases,neoplasticdiseases,2
151471,mycoplasma pneumonia,mycoplasmapneumonia,2
151529,linear iga disease,linearigadisease,3
152228,subarachnoid hemorrhage,subarachnoidhemorrhage,2
152726,myeloproliferative disorders,myeloproliferativedisorders,2
155017,ungal pneumonia,ungalpneumonia,2
156361,scleroderma,scleroderma,1
156856,zollinger-ellison syndrome,zollinger-ellisonsyndrome,2
157295,tinea barbae,tineabarbae,2
157539,acute nonlymphocytic leukemia,acutenonlymphocyticleukemia,3
159220,neutropenia,neutropenia,1
494,rat-bite feve,rat-bitefeve,2
1549,"uveitis, posteri","uveitis,posteri",2
2534,premature ejaculation,prematureejaculation,2
3028,polymyositis/dermatomyositis,polymyositis/dermatomyositis,1
3730,corneal refractive surgery,cornealrefractivesurgery,3
3899,gastrointestinal hemorrhage,gastrointestinalhemorrhage,2
9418,bacteremia,bacteremia,1
10681,jet lag,jetlag,2
11083,llicle stimulation,lliclestimulation,2
11443,myotonia congenita,myotoniacongenita,2
12789,aplastic anemia,aplasticanemia,2
14531,hemorrhoids (pramoxine / zinc oxide),hemorrhoids(pramoxine/zincoxide),5
15570,salmonella gastroenteritis,salmonellagastroenteritis,2
15621,somat,somat,1
22304,nausea (phosphorated carbohydrate solution),nausea(phosphoratedcarbohydratesolution),4
25891,occupational exposure,occupationalexposure,2
26619,tympanostomy tube placement surgery,tympanostomytubeplacementsurgery,4
28134,pulmonary edema,pulmonaryedema,2
28554,mantle cell lymphoma,mantlecelllymphoma,3
32497,"lyme disease, erythema chronicum migrans","lymedisease,erythemachronicummigrans",5
37969,renal tubular acidosis,renaltubularacidosis,3
44292,yellow fever prophylaxis,yellowfeverprophylaxis,3
46733,acute otitis externa,acuteotitisexterna,3
46886,steroid responsive inflammatory conditions,steroidresponsiveinflammatoryconditions,4
48090,pertussis prophylaxis,pertussisprophylaxis,2
